iter	Passed	Remaining
0	0	662
1	1	605
2	1	580
3	2	565
4	2	596
5	3	596
6	4	584
7	4	577
8	5	573
9	5	566
10	6	561
11	6	557
12	7	554
13	7	551
14	8	548
15	9	561
16	9	562
17	10	559
18	10	556
19	11	554
20	11	551
21	12	549
22	12	546
23	13	544
24	13	541
25	14	538
26	15	541
27	15	540
28	16	539
29	16	538
30	17	536
31	17	534
32	18	533
33	18	533
34	19	531
35	19	530
36	20	528
37	20	530
38	21	528
39	22	528
40	22	527
41	23	526
42	23	525
43	24	526
44	24	527
45	25	527
46	26	527
47	26	528
48	27	529
49	27	528
50	28	527
51	28	525
52	29	524
53	29	523
54	30	522
55	30	521
56	31	520
57	31	519
58	32	518
59	33	518
60	33	518
61	34	517
62	34	515
63	35	515
64	35	514
65	36	512
66	36	511
67	37	511
68	37	510
69	38	509
70	38	508
71	39	508
72	39	507
73	40	506
74	40	505
75	41	504
76	42	503
77	42	502
78	43	501
79	43	500
80	44	499
81	44	499
82	44	496
83	45	496
84	46	495
85	46	495
86	47	494
87	47	493
88	48	492
89	48	492
90	49	491
91	49	490
92	50	490
93	50	489
94	51	488
95	51	487
96	52	486
97	52	485
98	53	484
99	54	487
100	54	487
101	55	486
102	55	485
103	56	484
104	56	484
105	57	483
106	57	482
107	58	482
108	58	481
109	59	480
110	59	479
111	60	478
112	60	477
113	61	476
114	61	476
115	62	475
116	62	473
117	63	473
118	63	472
119	64	471
120	64	471
121	65	470
122	65	469
123	66	468
124	66	467
125	67	466
126	67	466
127	68	465
128	69	466
129	69	465
130	70	464
131	70	463
132	71	462
133	71	462
134	72	461
135	72	460
136	73	460
137	73	459
138	74	458
139	74	457
140	75	457
141	75	455
142	75	454
143	76	454
144	76	453
145	77	452
146	77	451
147	78	451
148	78	450
149	79	449
150	79	449
151	80	448
152	80	447
153	81	447
154	81	446
155	82	445
156	82	445
157	83	444
158	83	443
159	84	443
160	84	441
161	85	440
162	85	440
163	86	439
164	86	438
165	87	438
166	87	437
167	88	436
168	88	436
169	89	435
170	89	434
171	90	434
172	90	433
173	91	432
174	91	432
175	92	431
176	92	430
177	93	430
178	93	429
179	94	429
180	94	428
181	95	427
182	95	426
183	96	426
184	96	425
185	97	424
186	97	424
187	98	423
188	98	422
189	99	422
190	99	421
191	100	421
192	100	420
193	101	419
194	101	419
195	102	418
196	102	417
197	103	417
198	103	416
199	103	415
200	104	415
201	104	414
202	105	414
203	105	413
204	106	412
205	106	412
206	107	411
207	107	411
208	108	410
209	108	409
210	109	409
211	109	408
212	110	408
213	110	407
214	111	406
215	111	406
216	112	405
217	112	405
218	113	404
219	113	403
220	114	403
221	114	402
222	115	402
223	115	401
224	116	400
225	116	400
226	117	399
227	117	399
228	118	398
229	118	398
230	119	397
231	119	396
232	120	396
233	120	395
234	121	395
235	122	396
236	122	395
237	123	395
238	124	394
239	124	394
240	125	393
241	125	393
242	126	392
243	126	392
244	127	391
245	127	391
246	128	390
247	128	390
248	129	389
249	129	389
250	130	388
251	130	388
252	131	387
253	131	387
254	132	386
255	132	386
256	133	385
257	133	385
258	134	384
259	134	384
260	135	383
261	136	383
262	136	383
263	137	382
264	137	382
265	138	381
266	138	380
267	139	380
268	139	379
269	140	379
270	140	379
271	141	378
272	142	378
273	142	377
274	143	377
275	143	376
276	143	375
277	144	375
278	144	374
279	145	374
280	146	373
281	146	372
282	147	372
283	147	371
284	148	371
285	148	370
286	148	370
287	149	369
288	150	369
289	150	368
290	151	367
291	151	367
292	152	366
293	152	366
294	153	365
295	153	365
296	154	364
297	154	364
298	155	363
299	155	363
300	156	362
301	156	361
302	157	361
303	157	360
304	158	360
305	158	359
306	159	359
307	159	358
308	160	358
309	160	357
310	161	357
311	161	356
312	162	355
313	162	355
314	163	354
315	163	354
316	164	354
317	164	353
318	165	353
319	165	352
320	166	352
321	166	351
322	167	350
323	167	350
324	168	349
325	168	349
326	169	348
327	169	348
328	170	347
